ID	Year	LocationDesc	Topic	Data_Value_Type	Data_Value
266475	2014	United States	Fluoride	Percent	74.4
266883	2014	Alabama	Fluoride	Percent	78.6
266882	2014	Alaska	Fluoride	Percent	49.3
266885	2014	Arizona	Fluoride	Percent	57.8
266884	2014	Arkansas	Fluoride	Percent	70.3
266886	2014	California	Fluoride	Percent	63.7
266887	2014	Colorado	Fluoride	Percent	74
266888	2014	Connecticut	Fluoride	Percent	89.5
266890	2014	Delaware	Fluoride	Percent	87.1
266889	2014	District of Columbia	Fluoride	Percent	100
266891	2014	Florida	Fluoride	Percent	77.6
266892	2014	Georgia	Fluoride	Percent	96.2
266894	2014	Hawaii	Fluoride	Percent	11.7
266896	2014	Idaho	Fluoride	Percent	31.9
266897	2014	Illinois	Fluoride	Percent	98.5
266898	2014	Indiana	Fluoride	Percent	94.7
266895	2014	Iowa	Fluoride	Percent	92.7
266899	2014	Kansas	Fluoride	Percent	63.5
266900	2014	Kentucky	Fluoride	Percent	99.9
266448	2014	Louisiana	Fluoride	Percent	44.2
266451	2014	Maine	Fluoride	Percent	79.3
266450	2014	Maryland	Fluoride	Percent	96.4
266449	2014	Massachusetts	Fluoride	Percent	70.4
266452	2014	Michigan	Fluoride	Percent	91.7
266453	2014	Minnesota	Fluoride	Percent	98.8
266455	2014	Mississippi	Fluoride	Percent	60
266454	2014	Missouri	Fluoride	Percent	76.8
266456	2014	Montana	Fluoride	Percent	33.7
266459	2014	Nebraska	Fluoride	Percent	71.6
266463	2014	Nevada	Fluoride	Percent	73.7
266460	2014	New Hampshire	Fluoride	Percent	46.6
266461	2014	New Jersey	Fluoride	Percent	14.6
266462	2014	New Mexico	Fluoride	Percent	77
266464	2014	New York	Fluoride	Percent	71.4
266457	2014	North Carolina	Fluoride	Percent	87.8
266458	2014	North Dakota	Fluoride	Percent	96.7
266465	2014	Ohio	Fluoride	Percent	92.7
266466	2014	Oklahoma	Fluoride	Percent	62.6
266467	2014	Oregon	Fluoride	Percent	22.6
266468	2014	Pennsylvania	Fluoride	Percent	54.6
266470	2014	Rhode Island	Fluoride	Percent	84.5
266471	2014	South Carolina	Fluoride	Percent	93.6
266472	2014	South Dakota	Fluoride	Percent	93.6
266473	2014	Tennessee	Fluoride	Percent	88.1
266474	2014	Texas	Fluoride	Percent	79
266476	2014	Utah	Fluoride	Percent	51.7
266479	2014	Vermont	Fluoride	Percent	56.3
266477	2014	Virginia	Fluoride	Percent	95.9
266480	2014	Washington	Fluoride	Percent	63.9
266482	2014	West Virginia	Fluoride	Percent	90.5
266481	2014	Wisconsin	Fluoride	Percent	88.9
266483	2014	Wyoming	Fluoride	Percent	57.1
